Front	Back	Tags
Why can a small habit produce a large result over time?	Repeated small improvements compound, while repeated small declines compound in the opposite direction. One repetition is usually too small to reveal the eventual effect, so early quiet results are not proof that the system is failing. Source: Introduction — My Story.	atomic-habits::introduction::mechanism atomic-habits::compound
How should a broad goal be translated into a habit plan?	Keep the goal as direction, then choose the smallest observable behavior that moves toward it. Give that behavior a cue, a minimum version, and a way to notice completion; the daily system is what operates on an ordinary day. Source: Introduction — My Story.	atomic-habits::introduction::procedure atomic-habits::systems
What makes a minimum habit useful on a difficult day?	It must be small enough to complete with ordinary or low energy while still being a credible vote for the desired direction. The minimum protects continuity and learning; it does not define the largest version of the routine. Source: Introduction — My Story.	atomic-habits::introduction::concept atomic-habits::minimum
What important qualification should accompany the compounding model?	Compounding is a useful model, not a guarantee. Results also depend on behavior quality, time, health, resources, and external conditions, and a small action can compound in an unhelpful direction if it reinforces the wrong system. Source: Introduction — My Story.	atomic-habits::introduction::failure-mode atomic-habits::compound
What is the difference between a goal and a system in Atomic Habits?	A goal names the result someone wants, while a system is the repeatable process that produces behavior on ordinary days. Use the goal for direction and the system for daily design, measurement, and revision. Source: ch01 — The Surprising Power of Atomic Habits.	atomic-habits::ch01::contrast atomic-habits::systems
Why do early results often make a sound habit feel ineffective?	The visible payoff is delayed while the behavior's effects accumulate through repetition. Because a single repetition is usually too small to see, the early phase can look flat even when the system is building the conditions for later change. Source: ch01 — The Surprising Power of Atomic Habits.	atomic-habits::ch01::mechanism atomic-habits::compound
What should be measured when the final outcome is delayed?	Measure adherence and leading indicators that show whether the system is operating, rather than demanding immediate proof from the final outcome. This avoids confusing a delayed payoff with a failed process, while still leaving room to review whether the behavior is capable of producing the result. Source: ch01 — The Surprising Power of Atomic Habits.	atomic-habits::ch01::application atomic-habits::measurement
How do you design a habit that survives low-energy days?	Define a minimum version that is observable, small, and still connected to the desired identity or outcome. Give it a stable cue and a simple completion signal, then keep the full version optional until repetitions provide evidence about what to improve. Source: ch01 — The Surprising Power of Atomic Habits.	atomic-habits::ch01::procedure atomic-habits::minimum
When should patience stop and system revision begin?	Patience is appropriate when the behavior is being repeated and the payoff is plausibly delayed. Revision is needed when the cue, behavior, or measure is wrong, adherence is not happening, or repeated evidence shows the system cannot produce the desired result. Source: ch01 — The Surprising Power of Atomic Habits.	atomic-habits::ch01::decision atomic-habits::review
What is the main failure mode of goal-only thinking?	A goal can create a satisfying feeling of intention without specifying what will happen repeatedly. Replace outcome-only motivation with an observable input behavior, a reliable cue, and a review process that tests the system. Source: ch01 — The Surprising Power of Atomic Habits.	atomic-habits::ch01::failure-mode atomic-habits::goals
What are the three layers of behavior change?	Outcome is what someone gets, process is the routine or system they perform, and identity is the kind of person they believe themselves to be. A durable design connects all three, using identity and process to guide daily action while keeping the outcome as direction. Source: ch02 — How Your Habits Shape Your Identity.	atomic-habits::ch02::concept atomic-habits::identity
What is an identity vote?	An identity vote is a repetition that provides evidence for the person someone is practicing becoming. One action is not proof and a lapse is not a permanent verdict, but a pattern of actions can gradually update self-belief. Source: ch02 — How Your Habits Shape Your Identity.	atomic-habits::ch02::concept atomic-habits::identity-vote
How do you turn “become a reader” into identity-based action?	Choose a small behavior that is credible evidence of reading, such as opening the book and reading one page. Attach it to a cue and repeat it; the point is to practice the identity through behavior rather than merely claim the label. Source: ch02 — How Your Habits Shape Your Identity.	atomic-habits::ch02::application atomic-habits::identity
How should a person interpret a lapse under an identity-based approach?	Treat the lapse as information about the system and return at the next opportunity to cast another vote. Do not use one miss as proof that the desired identity was false, and do not protect a negative self-story by abandoning the behavior. Source: ch02 — How Your Habits Shape Your Identity.	atomic-habits::ch02::procedure atomic-habits::recovery
What is wrong with a rigid identity label?	A rigid label can turn a useful direction into a restriction and make one miss feel like a contradiction. Keep the identity aspirational but flexible enough to include learning, recovery, changed circumstances, and evidence that the old formulation no longer fits. Source: ch02 — How Your Habits Shape Your Identity.	atomic-habits::ch02::failure-mode atomic-habits::identity
What is the cue–craving–response–reward loop?	The cue makes a situation noticeable, the craving supplies an anticipated change in state, the response is the action taken, and the reward teaches the brain whether to repeat the loop. Mapping all four parts helps locate the design lever instead of treating the behavior as a moral trait. Source: ch03 — How to Build Better Habits in 4 Simple Steps.	atomic-habits::ch03::concept atomic-habits::habit-loop
