#separator:Tab
#html:true
#columns:ID	Front	Back	Tags
#tags column:4
atomic-habits::accountability-contract::concept::01	What does the book mean by “Accountability Contract” and why does it matter?	<b>Answer</b><br>Definition: An accountability contract makes a commitment specific and adds an immediate, socially visible cost to breaking it. Why it matters: Another person’s present knowledge can compete with a distant consequence and clarify what evidence counts. Mechanism: The agreement names the behavior, evidence, check-in, and consequence before a lapse occurs. Use it when private intention is repeatedly overridden and a reliable partner can provide respectful feedback. Apply it by Choose a partner, define observable completion, set a check-in, and agree on a proportionate consequence and recovery path.<br><br><b>Re-teach</b><br>Another person’s present knowledge can compete with a distant consequence and clarify what evidence counts. The agreement names the behavior, evidence, check-in, and consequence before a lapse occurs.<br><br><b>Example</b><br>The Bryan Harris example uses a written agreement with specific daily behaviors, evidence, check-ins, and consequences.<br><br><b>Remember</b><br>Accountability clarifies and socialises a commitment; it should not replace environment design or make honest recovery unsafe.<br><br><b>Connections</b><br>Related ideas: habit-tracking-recovery, commitment-device.<br><br><span class="source">Source</span><br>Chapter 17 — How an Accountability Partner Can Change Everything (ch17)	atomic-habits atomic-habits::ch17 atomic-habits::concept::accountability-contract atomic-habits::type::concept atomic-habits::tier::important
atomic-habits::book-model::book-map::01	What is the conceptual spine of Atomic Habits?	<b>Answer</b><br>Atomic Habits connects four layers: identity gives direction, systems shape the opportunities that occur on ordinary days, repeated behavior strengthens the habit loop, and accumulated repetitions influence outcomes. The point of the model is to connect a desired result to a process that can actually repeat. Use it to ask which identity, system, cue, and feedback would make the next useful repetition more likely.<br><br><b>Re-teach</b><br>The book moves from the person someone is becoming to the process that can happen on an ordinary day. The habit loop explains how cues and rewards make behavior repeat. The Four Laws provide levers for changing that loop, while review keeps the system aligned with quality and purpose.<br><br><b>Remember</b><br>Use the map to connect a technique to the behavior and outcome it is meant to change.<br><br><b>Connections</b><br>Related ideas: compounding-systems, identity-based-change, four-laws.<br><br><span class="source">Source</span><br>SKILL.md — Core model	atomic-habits atomic-habits::book-map atomic-habits::concept::book-model atomic-habits::type::book-map atomic-habits::tier::core
atomic-habits::commitment-device::concept::01	What does the book mean by “Commitment Device” and why does it matter?	<b>Answer</b><br>Definition: A commitment device is a present choice that changes later options so a future behavior becomes more likely. Why it matters: Advance decisions reduce reliance on willpower when immediate temptation is strongest. Mechanism: A restriction, default, automation, or added delay changes the later choice architecture across many repetitions. Use it when a repeated decision is consistently overridden by a short-term reward and a one-time setup can change the default. Apply it by Choose a proportionate, understood, and preferably reversible constraint or default, then review it when stakes or circumstances change.<br><br><b>Re-teach</b><br>Advance decisions reduce reliance on willpower when immediate temptation is strongest. A restriction, default, automation, or added delay changes the later choice architecture across many repetitions.<br><br><b>Example</b><br>Victor Hugo restricted access to his outdoor clothes, making staying in to write the easier option.<br><br><b>Remember</b><br>A commitment device changes future options in advance; ordinary motivation asks the future self to decide again.<br><br><b>Connections</b><br>Related ideas: make-it-invisible, law-least-effort.<br><br><span class="source">Source</span><br>Chapter 14 — How to Make Good Habits Inevitable and Bad Habits Impossible (ch14)	atomic-habits atomic-habits::ch14 atomic-habits::concept::commitment-device atomic-habits::type::concept atomic-habits::tier::core
atomic-habits::commitment-device::mechanism::01	Why does “Commitment Device” work in the book’s model?	<b>Answer</b><br>Mechanism: A restriction, default, automation, or added delay changes the later choice architecture across many repetitions. Why it matters: Advance decisions reduce reliance on willpower when immediate temptation is strongest. Use it when a repeated decision is consistently overridden by a short-term reward and a one-time setup can change the default. Apply it by Choose a proportionate, understood, and preferably reversible constraint or default, then review it when stakes or circumstances change. Watch for this failure: An irreversible or punitive device can create harmful rigidity and make a mistaken decision hard to correct.<br><br><b>Re-teach</b><br>Advance decisions reduce reliance on willpower when immediate temptation is strongest. Use it when a repeated decision is consistently overridden by a short-term reward and a one-time setup can change the default. An irreversible or punitive device can create harmful rigidity and make a mistaken decision hard to correct.<br><br><b>Example</b><br>Victor Hugo restricted access to his outdoor clothes, making staying in to write the easier option.<br><br><b>Remember</b><br>A commitment device changes future options in advance; ordinary motivation asks the future self to decide again.<br><br><b>Connections</b><br>Related ideas: make-it-invisible, law-least-effort.<br><br><span class="source">Source</span><br>Chapter 14 — How to Make Good Habits Inevitable and Bad Habits Impossible (ch14)	atomic-habits atomic-habits::ch14 atomic-habits::concept::commitment-device atomic-habits::type::mechanism atomic-habits::tier::core
atomic-habits::compounding-systems::concept::01	What does the book mean by “Compounding and Systems” and why does it matter?	<b>Answer</b><br>Definition: Small improvements compound through repetition, while systems determine what happens on ordinary days. Why it matters: The visible payoff often arrives after the behavior has been repeated long enough to accumulate. Mechanism: Each repetition adds to a pattern, so a small improvement can become consequential and a small decline can compound in the opposite direction. Use it when a goal feels urgent but the daily behavior and its delayed payoff are unclear. Apply it by Keep the goal as direction, then define one observable input behavior, a minimum version, a cue, and a review point.<br><br><b>Re-teach</b><br>The visible payoff often arrives after the behavior has been repeated long enough to accumulate. Each repetition adds to a pattern, so a small improvement can become consequential and a small decline can compound in the opposite direction.<br><br><b>Example</b><br>The book uses the delayed progress of compounding to explain why an early flat period does not by itself prove a system has failed.<br><br><b>Remember</b><br>A goal names the result; a system is the repeatable process that produces behavior.<br><br><b>Connections</b><br>Related ideas: identity-based-change, review-quality.<br><br><span class="source">Source</span><br>Chapter 1 — The Surprising Power of Atomic Habits (ch01)	atomic-habits atomic-habits::ch01 atomic-habits::concept::compounding-systems atomic-habits::type::concept atomic-habits::tier::core
atomic-habits::compounding-systems::mechanism::01	Why does “Compounding and Systems” work in the book’s model?	<b>Answer</b><br>Mechanism: Each repetition adds to a pattern, so a small improvement can become consequential and a small decline can compound in the opposite direction. Why it matters: The visible payoff often arrives after the behavior has been repeated long enough to accumulate. Use it when a goal feels urgent but the daily behavior and its delayed payoff are unclear. Apply it by Keep the goal as direction, then define one observable input behavior, a minimum version, a cue, and a review point. Watch for this failure: Abandoning a sound system because its early results are quiet confuses delayed payoff with failed process.<br><br><b>Re-teach</b><br>The visible payoff often arrives after the behavior has been repeated long enough to accumulate. Use it when a goal feels urgent but the daily behavior and its delayed payoff are unclear. Abandoning a sound system because its early results are quiet confuses delayed payoff with failed process.<br><br><b>Example</b><br>The book uses the delayed progress of compounding to explain why an early flat period does not by itself prove a system has failed.<br><br><b>Remember</b><br>A goal names the result; a system is the repeatable process that produces behavior.<br><br><b>Connections</b><br>Related ideas: identity-based-change, review-quality.<br><br><span class="source">Source</span><br>Chapter 1 — The Surprising Power of Atomic Habits (ch01)	atomic-habits atomic-habits::ch01 atomic-habits::concept::compounding-systems atomic-habits::type::mechanism atomic-habits::tier::core
atomic-habits::deliberate-practice::concept::01	What does the book mean by “Deliberate Practice and Quality Review” and why does it matter?	<b>Answer</b><br>Definition: Deliberate practice adds focused attention, feedback, and correction to repetition so automatic performance does not preserve errors. Why it matters: Consistency proves attendance, not that quality or the original outcome is improving. Mechanism: Practice at the edge of ability exposes errors; feedback identifies a correction that ordinary automatic repetition can hide. Use it when a habit is consistent but quality has plateaued, drifted, or become difficult to evaluate. Apply it by Keep the repeatable shell easy, choose one quality criterion, practice the edge, review feedback, and make one correction.<br><br><b>Re-teach</b><br>Consistency proves attendance, not that quality or the original outcome is improving. Practice at the edge of ability exposes errors; feedback identifies a correction that ordinary automatic repetition can hide.<br><br><b>Example</b><br>The Lakers’ Career Best Effort example adds baseline review and small improvements in unglamorous team contributions.<br><br><b>Remember</b><br>Automatic repetition supports consistency; deliberate practice supports mastery and quality.<br><br><b>Connections</b><br>Related ideas: goldilocks-rule, repetition-over-motion.<br><br><span class="source">Source</span><br>Chapter 20 — The Downside of Creating Good Habits (ch20)	atomic-habits atomic-habits::ch20 atomic-habits::concept::deliberate-practice atomic-habits::type::concept atomic-habits::tier::core
atomic-habits::deliberate-practice::mechanism::01	Why does “Deliberate Practice and Quality Review” work in the book’s model?	<b>Answer</b><br>Mechanism: Practice at the edge of ability exposes errors; feedback identifies a correction that ordinary automatic repetition can hide. Why it matters: Consistency proves attendance, not that quality or the original outcome is improving. Use it when a habit is consistent but quality has plateaued, drifted, or become difficult to evaluate. Apply it by Keep the repeatable shell easy, choose one quality criterion, practice the edge, review feedback, and make one correction. Watch for this failure: Increasing frequency without feedback can make the same mistake automatic.<br><br><b>Re-teach</b><br>Consistency proves attendance, not that quality or the original outcome is improving. Use it when a habit is consistent but quality has plateaued, drifted, or become difficult to evaluate. Increasing frequency without feedback can make the same mistake automatic.<br><br><b>Example</b><br>The Lakers’ Career Best Effort example adds baseline review and small improvements in unglamorous team contributions.<br><br><b>Remember</b><br>Automatic repetition supports consistency; deliberate practice supports mastery and quality.<br><br><b>Connections</b><br>Related ideas: goldilocks-rule, repetition-over-motion.<br><br><span class="source">Source</span><br>Chapter 20 — The Downside of Creating Good Habits (ch20)	atomic-habits atomic-habits::ch20 atomic-habits::concept::deliberate-practice atomic-habits::type::mechanism atomic-habits::tier::core
atomic-habits::environment-design::concept::01	What does the book mean by “Environment Design” and why does it matter?	<b>Answer</b><br>Definition: Environment design shapes surroundings so desired cues and defaults are visible and convenient before willpower is needed. Why it matters: Context carries learned associations, so changing what is noticed and reached for can change the next decision. Mechanism: Rooms, objects, times, and situations become associated with responses; prepared cues reduce the need for memory and motivation. Use it when the same context repeatedly triggers an unwanted routine or hides a desired one. Apply it by Put the desired cue or tool in the path of the next routine and remove or add friction around competing choices.<br><br><b>Re-teach</b><br>Context carries learned associations, so changing what is noticed and reached for can change the next decision. Rooms, objects, times, and situations become associated with responses; prepared cues reduce the need for memory and motivation.<br><br><b>Example</b><br>Place a book on the pillow or prepare workout clothes where the next routine will encounter them.<br><br><b>Remember</b><br>Environment design changes defaults and cues; it does not claim that context completely determines behavior.<br><br><b>Connections</b><br>Related ideas: friction-shaping, make-it-invisible.<br><br><span class="source">Source</span><br>Chapter 6 — Motivation Is Overrated; Environment Often Matters More (ch06)	atomic-habits atomic-habits::ch06 atomic-habits::concept::environment-design atomic-habits::type::concept atomic-habits::tier::core
atomic-habits::environment-design::mechanism::01	Why does “Environment Design” work in the book’s model?	<b>Answer</b><br>Mechanism: Rooms, objects, times, and situations become associated with responses; prepared cues reduce the need for memory and motivation. Why it matters: Context carries learned associations, so changing what is noticed and reached for can change the next decision. Use it when the same context repeatedly triggers an unwanted routine or hides a desired one. Apply it by Put the desired cue or tool in the path of the next routine and remove or add friction around competing choices. Watch for this failure: A visible object will not help if the response is vague, difficult, or disconnected from a real routine.<br><br><b>Re-teach</b><br>Context carries learned associations, so changing what is noticed and reached for can change the next decision. Use it when the same context repeatedly triggers an unwanted routine or hides a desired one. A visible object will not help if the response is vague, difficult, or disconnected from a real routine.<br><br><b>Example</b><br>Place a book on the pillow or prepare workout clothes where the next routine will encounter them.<br><br><b>Remember</b><br>Environment design changes defaults and cues; it does not claim that context completely determines behavior.<br><br><b>Connections</b><br>Related ideas: friction-shaping, make-it-invisible.<br><br><span class="source">Source</span><br>Chapter 6 — Motivation Is Overrated; Environment Often Matters More (ch06)	atomic-habits atomic-habits::ch06 atomic-habits::concept::environment-design atomic-habits::type::mechanism atomic-habits::tier::core
